copy_index,upstream_layer,upstream_output_index,upstream_tensor,upstream_output_format_datatype,copy_node,copy_input_format_datatype,copy_output_format_datatype,downstream_layer,downstream_input_index,downstream_tensor,downstream_input_format_datatype,tensor_dimensions
25,__myl_Add_myl57_8,0,/model/block2.0/mlp/dwconv/Reshape_output_0,Half,Reformatting CopyNode for Input Tensor 0 to /model/block2.0/mlp/dwconv/dwconv/Conv,Row major linear FP16 format,Channel major FP16 format where channel % 8 == 0,/model/block2.0/mlp/dwconv/dwconv/Conv,0,Reformatted Input Tensor 0 to /model/block2.0/mlp/dwconv/dwconv/Conv,Channel major FP16 format where channel % 8 == 0,1x512x44x44
26,__myl_FcAdd_myl57_5,0,/model/block2.0/Add_output_0,Half,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_5634 + ONNXTRT_Broadcast_609.../model/block2.1/attn/Transpose_1 + /model/block2.1/attn/Reshape_1]},Row major linear FP16 format,Row major linear FP32,__myl_CastAddMeanSubMulMeanCast_myl61_2,1,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_5634 + ONNXTRT_Broadcast_609.../model/block2.1/attn/Transpose_1 + /model/block2.1/attn/Reshape_1]},Float,1x1936x128
27,__myl_AddSqrtDivMulMulAddTranReshCast_myl61_3,1,/model/block2.1/norm1/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 0 to {ForeignNode[onnx::MatMul_5635 + ONNXTRT_Broadcast_621.../model/block2.1/mlp/dwconv/Transpose + /model/block2.1/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,/model/block2.1/attn/q/MatMul_myl66_2,0,Reformatted Input Tensor 0 to {ForeignNode[onnx::MatMul_5635 + ONNXTRT_Broadcast_621.../model/block2.1/mlp/dwconv/Transpose + /model/block2.1/mlp/dwconv/Reshape]},Half,1x1936x128
28,/model/block2.1/attn/sr/Conv,0,/model/block2.1/attn/sr/Conv_output_0,Channel major FP16 format where channel % 8 == 0,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_5635 + ONNXTRT_Broadcast_621.../model/block2.1/mlp/dwconv/Transpose + /model/block2.1/mlp/dwconv/Reshape]},Channel major FP16 format where channel % 8 == 0,Row major linear FP16 format,__myl_ReshTranMeanSubMulMeanAddSqrtDivMulMulAdd_myl66_0,0,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_5635 + ONNXTRT_Broadcast_621.../model/block2.1/mlp/dwconv/Transpose + /model/block2.1/mlp/dwconv/Reshape]},Half,1x128x11x11
29,__myl_CastAddMeanSubMulMeanCast_myl61_2,0,/model/block2.0/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 2 to {ForeignNode[onnx::MatMul_5635 + ONNXTRT_Broadcast_621.../model/block2.1/mlp/dwconv/Transpose + /model/block2.1/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,__myl_FcAdd_myl66_5,0,Reformatted Input Tensor 2 to {ForeignNode[onnx::MatMul_5635 + ONNXTRT_Broadcast_621.../model/block2.1/mlp/dwconv/Transpose + /model/block2.1/mlp/dwconv/Reshape]},Half,1x1936x128
30,__myl_Add_myl66_8,0,/model/block2.1/mlp/dwconv/Reshape_output_0,Half,Reformatting CopyNode for Input Tensor 0 to /model/block2.1/mlp/dwconv/dwconv/Conv,Row major linear FP16 format,Channel major FP16 format where channel % 8 == 0,/model/block2.1/mlp/dwconv/dwconv/Conv,0,Reformatted Input Tensor 0 to /model/block2.1/mlp/dwconv/dwconv/Conv,Channel major FP16 format where channel % 8 == 0,1x512x44x44
31,__myl_FcAdd_myl66_5,0,/model/block2.1/Add_output_0,Half,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_5668 + ONNXTRT_Broadcast_705.../model/block2.2/attn/Transpose_1 + /model/block2.2/attn/Reshape_1]},Row major linear FP16 format,Row major linear FP32,__myl_CastAddMeanSubMulMeanCast_myl70_2,1,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_5668 + ONNXTRT_Broadcast_705.../model/block2.2/attn/Transpose_1 + /model/block2.2/attn/Reshape_1]},Float,1x1936x128
32,__myl_AddSqrtDivMulMulAddTranReshCast_myl70_3,1,/model/block2.2/norm1/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 0 to {ForeignNode[onnx::MatMul_5669 + ONNXTRT_Broadcast_717.../model/block2.2/mlp/dwconv/Transpose + /model/block2.2/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,/model/block2.2/attn/q/MatMul_myl75_2,0,Reformatted Input Tensor 0 to {ForeignNode[onnx::MatMul_5669 + ONNXTRT_Broadcast_717.../model/block2.2/mlp/dwconv/Transpose + /model/block2.2/mlp/dwconv/Reshape]},Half,1x1936x128
33,/model/block2.2/attn/sr/Conv,0,/model/block2.2/attn/sr/Conv_output_0,Channel major FP16 format where channel % 8 == 0,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_5669 + ONNXTRT_Broadcast_717.../model/block2.2/mlp/dwconv/Transpose + /model/block2.2/mlp/dwconv/Reshape]},Channel major FP16 format where channel % 8 == 0,Row major linear FP16 format,__myl_ReshTranMeanSubMulMeanAddSqrtDivMulMulAdd_myl75_0,0,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_5669 + ONNXTRT_Broadcast_717.../model/block2.2/mlp/dwconv/Transpose + /model/block2.2/mlp/dwconv/Reshape]},Half,1x128x11x11
34,__myl_CastAddMeanSubMulMeanCast_myl70_2,0,/model/block2.1/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 2 to {ForeignNode[onnx::MatMul_5669 + ONNXTRT_Broadcast_717.../model/block2.2/mlp/dwconv/Transpose + /model/block2.2/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,__myl_FcAdd_myl75_5,0,Reformatted Input Tensor 2 to {ForeignNode[onnx::MatMul_5669 + ONNXTRT_Broadcast_717.../model/block2.2/mlp/dwconv/Transpose + /model/block2.2/mlp/dwconv/Reshape]},Half,1x1936x128
