copy_index,upstream_layer,upstream_output_index,upstream_tensor,upstream_output_format_datatype,copy_node,copy_input_format_datatype,copy_output_format_datatype,downstream_layer,downstream_input_index,downstream_tensor,downstream_input_format_datatype,tensor_dimensions
128,/model/block3.17/attn/sr/Conv,0,/model/block3.17/attn/sr/Conv_output_0,Channel major FP16 format where channel % 8 == 0,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_6320 + ONNXTRT_Broadcast_2593.../model/block3.17/mlp/dwconv/Transpose + /model/block3.17/mlp/dwconv/Reshape]},Channel major FP16 format where channel % 8 == 0,Row major linear FP16 format,__myl_ReshTranMeanSubMulMeanAddSqrtDivMulMulAdd_myl248_0,0,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_6320 + ONNXTRT_Broadcast_2593.../model/block3.17/mlp/dwconv/Transpose + /model/block3.17/mlp/dwconv/Reshape]},Half,1x320x11x11
129,__myl_CastAddMeanSubMulMeanCast_myl243_2,0,/model/block3.16/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 2 to {ForeignNode[onnx::MatMul_6320 + ONNXTRT_Broadcast_2593.../model/block3.17/mlp/dwconv/Transpose + /model/block3.17/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,__myl_FcAdd_myl248_5,0,Reformatted Input Tensor 2 to {ForeignNode[onnx::MatMul_6320 + ONNXTRT_Broadcast_2593.../model/block3.17/mlp/dwconv/Transpose + /model/block3.17/mlp/dwconv/Reshape]},Half,1x484x320
130,__myl_Add_myl248_8,0,/model/block3.17/mlp/dwconv/Reshape_output_0,Half,Reformatting CopyNode for Input Tensor 0 to /model/block3.17/mlp/dwconv/dwconv/Conv,Row major linear FP16 format,Channel major FP16 format where channel % 8 == 0,/model/block3.17/mlp/dwconv/dwconv/Conv,0,Reformatted Input Tensor 0 to /model/block3.17/mlp/dwconv/dwconv/Conv,Channel major FP16 format where channel % 8 == 0,1x1280x22x22
131,__myl_FcAdd_myl248_5,0,/model/block3.17/Add_output_0,Half,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_6353 + ONNXTRT_Broadcast_2677.../model/Reshape_2 + /model/Transpose_2]},Row major linear FP16 format,Row major linear FP32,__myl_CastAddMeanSubMulMean_myl252_2,1,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_6353 + ONNXTRT_Broadcast_2677.../model/Reshape_2 + /model/Transpose_2]},Float,1x484x320
132,__myl_AddSqrtDivMulMulAddReshTran_myl252_3,0,Reformatted Output Tensor 0 to {ForeignNode[onnx::MatMul_6353 + ONNXTRT_Broadcast_2677.../model/Reshape_2 + /model/Transpose_2]},Half,Reformatting CopyNode for Output Tensor 0 to {ForeignNode[onnx::MatMul_6353 + ONNXTRT_Broadcast_2677.../model/Reshape_2 + /model/Transpose_2]},Channel major FP16 format where channel % 8 == 0,Channel major FP16 format where channel % 2 == 0,Reformatting CopyNode for Input Tensor 0 to /model/patch_embed4/proj/Conv,0,/model/Transpose_2_output_0,Channel major FP16 format where channel % 2 == 0,1x320x22x22
132,__myl_AddSqrtDivMulMulAddReshTran_myl252_3,0,Reformatted Output Tensor 0 to {ForeignNode[onnx::MatMul_6353 + ONNXTRT_Broadcast_2677.../model/Reshape_2 + /model/Transpose_2]},Half,Reformatting CopyNode for Output Tensor 0 to {ForeignNode[onnx::MatMul_6353 + ONNXTRT_Broadcast_2677.../model/Reshape_2 + /model/Transpose_2]},Channel major FP16 format where channel % 8 == 0,Channel major FP16 format where channel % 2 == 0,"Reformatting CopyNode for Input Tensor 0 to /model/decoder/FEM3/conv1/Conv + PWN(onnx::PRelu_6453 + ONNXTRT_Broadcast_3008, PWN(/model/decoder/FEM3/prelu/PRelu))",0,/model/Transpose_2_output_0,Channel major FP16 format where channel % 2 == 0,1x320x22x22
132,__myl_AddSqrtDivMulMulAddReshTran_myl252_3,0,Reformatted Output Tensor 0 to {ForeignNode[onnx::MatMul_6353 + ONNXTRT_Broadcast_2677.../model/Reshape_2 + /model/Transpose_2]},Half,Reformatting CopyNode for Output Tensor 0 to {ForeignNode[onnx::MatMul_6353 + ONNXTRT_Broadcast_2677.../model/Reshape_2 + /model/Transpose_2]},Channel major FP16 format where channel % 8 == 0,Channel major FP16 format where channel % 2 == 0,Reformatting CopyNode for Input Tensor 1 to PWN(/model/decoder/FEM3/Add),0,/model/Transpose_2_output_0,Channel major FP16 format where channel % 2 == 0,1x320x22x22
132,__myl_AddSqrtDivMulMulAddReshTran_myl252_3,0,Reformatted Output Tensor 0 to {ForeignNode[onnx::MatMul_6353 + ONNXTRT_Broadcast_2677.../model/Reshape_2 + /model/Transpose_2]},Half,Reformatting CopyNode for Output Tensor 0 to {ForeignNode[onnx::MatMul_6353 + ONNXTRT_Broadcast_2677.../model/Reshape_2 + /model/Transpose_2]},Channel major FP16 format where channel % 8 == 0,Channel major FP16 format where channel % 2 == 0,Reformatting CopyNode for Input Tensor 1 to /model/decoder/FEM3/conv3/Conv + /model/decoder/FEM3/Add_1,0,/model/Transpose_2_output_0,Channel major FP16 format where channel % 2 == 0,1x320x22x22
133,Reformatting CopyNode for Output Tensor 0 to {ForeignNode[onnx::MatMul_6353 + ONNXTRT_Broadcast_2677.../model/Reshape_2 + /model/Transpose_2]},0,/model/Transpose_2_output_0,Channel major FP16 format where channel % 2 == 0,Reformatting CopyNode for Input Tensor 0 to /model/patch_embed4/proj/Conv,Channel major FP16 format where channel % 2 == 0,Channel major FP16 format where channel % 8 == 0,/model/patch_embed4/proj/Conv,0,Reformatted Input Tensor 0 to /model/patch_embed4/proj/Conv,Channel major FP16 format where channel % 8 == 0,1x320x22x22
134,Reformatting CopyNode for Output Tensor 0 to {ForeignNode[onnx::MatMul_5595 + ONNXTRT_Broadcast_461.../model/Reshape + /model/Transpose]},0,/model/Transpose_output_0,Channel major FP16 format where channel % 2 == 0,"Reformatting CopyNode for Input Tensor 0 to /model/decoder/FEM1/conv1/Conv + PWN(onnx::PRelu_6481 + ONNXTRT_Broadcast_3024, PWN(/model/decoder/FEM1/prelu/PRelu))",Channel major FP16 format where channel % 2 == 0,Channel major FP16 format where channel % 8 == 0,"/model/decoder/FEM1/conv1/Conv + PWN(onnx::PRelu_6481 + ONNXTRT_Broadcast_3024, PWN(/model/decoder/FEM1/prelu/PRelu))",0,"Reformatted Input Tensor 0 to /model/decoder/FEM1/conv1/Conv + PWN(onnx::PRelu_6481 + ONNXTRT_Broadcast_3024, PWN(/model/decoder/FEM1/prelu/PRelu))",Channel major FP16 format where channel % 8 == 0,1x64x88x88
135,"/model/decoder/FEM1/conv1/Conv + PWN(onnx::PRelu_6481 + ONNXTRT_Broadcast_3024, PWN(/model/decoder/FEM1/prelu/PRelu))",0,/model/decoder/FEM1/prelu/PRelu_output_0,Channel major FP16 format where channel % 8 == 0,Reformatting CopyNode for Input Tensor 0 to /model/decoder/FEM1/Reshape + /model/decoder/FEM1/Transpose,Channel major FP16 format where channel % 8 == 0,Channel major FP16 format where channel % 2 == 0,/model/decoder/FEM1/Reshape + /model/decoder/FEM1/Transpose,0,Reformatted Input Tensor 0 to /model/decoder/FEM1/Reshape + /model/decoder/FEM1/Transpose,Channel major FP16 format where channel % 2 == 0,1x64x88x88
136,/model/decoder/FEM1/Reshape_1,0,/model/decoder/FEM1/Reshape_1_output_0,Row major linear FP16 format,Reformatting CopyNode for Input Tensor 0 to PWN(/model/decoder/FEM1/Add),Row major linear FP16 format,Channel major FP16 format where channel % 8 == 0,PWN(/model/decoder/FEM1/Add),0,Reformatted Input Tensor 0 to PWN(/model/decoder/FEM1/Add),Channel major FP16 format where channel % 8 == 0,1x64x88x88
137,Reformatting CopyNode for Output Tensor 0 to {ForeignNode[onnx::MatMul_5595 + ONNXTRT_Broadcast_461.../model/Reshape + /model/Transpose]},0,/model/Transpose_output_0,Channel major FP16 format where channel % 2 == 0,Reformatting CopyNode for Input Tensor 1 to PWN(/model/decoder/FEM1/Add),Channel major FP16 format where channel % 2 == 0,Channel major FP16 format where channel % 8 == 0,PWN(/model/decoder/FEM1/Add),1,Reformatted Input Tensor 1 to PWN(/model/decoder/FEM1/Add),Channel major FP16 format where channel % 8 == 0,1x64x88x88
138,"PWN(PWN(/model/decoder/FEM1/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM1/cbam/Mul))",0,"Reformatted Output Tensor 0 to PWN(PWN(/model/decoder/FEM1/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM1/cbam/Mul))",Channel major FP16 format where channel % 8 == 0,"Reformatting CopyNode for Output Tensor 0 to PWN(PWN(/model/decoder/FEM1/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM1/cbam/Mul))",Channel major FP16 format where channel % 8 == 0,Row major linear FP16 format,/model/decoder/FEM1/cbam/sa/ReduceMean,0,/model/decoder/FEM1/cbam/Mul_output_0,Row major linear FP16 format,1x64x88x88
138,"PWN(PWN(/model/decoder/FEM1/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM1/cbam/Mul))",0,"Reformatted Output Tensor 0 to PWN(PWN(/model/decoder/FEM1/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM1/cbam/Mul))",Channel major FP16 format where channel % 8 == 0,"Reformatting CopyNode for Output Tensor 0 to PWN(PWN(/model/decoder/FEM1/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM1/cbam/Mul))",Channel major FP16 format where channel % 8 == 0,Row major linear FP16 format,/model/decoder/FEM1/cbam/sa/ReduceMax,0,/model/decoder/FEM1/cbam/Mul_output_0,Row major linear FP16 format,1x64x88x88
138,"PWN(PWN(/model/decoder/FEM1/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM1/cbam/Mul))",0,"Reformatted Output Tensor 0 to PWN(PWN(/model/decoder/FEM1/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM1/cbam/Mul))",Channel major FP16 format where channel % 8 == 0,"Reformatting CopyNode for Output Tensor 0 to PWN(PWN(/model/decoder/FEM1/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM1/cbam/Mul))",Channel major FP16 format where channel % 8 == 0,Row major linear FP16 format,"Reformatting CopyNode for Input Tensor 1 to PWN(PWN(/model/decoder/FEM1/cbam/sa/sigmoid/Sigmoid), PWN(/model/decoder/FEM1/cbam/Mul_1))",0,/model/decoder/FEM1/cbam/Mul_output_0,Row major linear FP16 format,1x64x88x88
139,"Reformatting CopyNode for Output Tensor 0 to PWN(PWN(/model/decoder/FEM1/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM1/cbam/Mul))",0,/model/decoder/FEM1/cbam/Mul_output_0,Row major linear FP16 format,"Reformatting CopyNode for Input Tensor 1 to PWN(PWN(/model/decoder/FEM1/cbam/sa/sigmoid/Sigmoid), PWN(/model/decoder/FEM1/cbam/Mul_1))",Row major linear FP16 format,Channel major FP16 format where channel % 8 == 0,"PWN(PWN(/model/decoder/FEM1/cbam/sa/sigmoid/Sigmoid), PWN(/model/decoder/FEM1/cbam/Mul_1))",1,"Reformatted Input Tensor 1 to PWN(PWN(/model/decoder/FEM1/cbam/sa/sigmoid/Sigmoid), PWN(/model/decoder/FEM1/cbam/Mul_1))",Channel major FP16 format where channel % 8 == 0,1x64x88x88
140,ONNXTRT_Broadcast_3028,0,(Unnamed Layer* 4799) [Shuffle]_output,Row major linear FP16 format,Reformatting CopyNode for Input Tensor 1 to PWN(/model/decoder/FEM1/prelu_1/PRelu),Row major linear FP16 format,Channel major FP16 format where channel % 8 == 0,PWN(/model/decoder/FEM1/prelu_1/PRelu),1,Reformatted Input Tensor 1 to PWN(/model/decoder/FEM1/prelu_1/PRelu),Channel major FP16 format where channel % 8 == 0,1x1x1x1
141,Reformatting CopyNode for Output Tensor 0 to {ForeignNode[onnx::MatMul_5595 + ONNXTRT_Broadcast_461.../model/Reshape + /model/Transpose]},0,/model/Transpose_output_0,Channel major FP16 format where channel % 2 == 0,Reformatting CopyNode for Input Tensor 1 to /model/decoder/FEM1/conv3/Conv + /model/decoder/FEM1/Add_1,Channel major FP16 format where channel % 2 == 0,Channel major FP16 format where channel % 8 == 0,/model/decoder/FEM1/conv3/Conv + /model/decoder/FEM1/Add_1,1,Reformatted Input Tensor 1 to /model/decoder/FEM1/conv3/Conv + /model/decoder/FEM1/Add_1,Channel major FP16 format where channel % 8 == 0,1x64x88x88
142,"/model/decoder/FEM2/conv1/Conv + PWN(onnx::PRelu_6467 + ONNXTRT_Broadcast_3016, PWN(/model/decoder/FEM2/prelu/PRelu))",0,/model/decoder/FEM2/prelu/PRelu_output_0,Channel major FP16 format where channel % 8 == 0,Reformatting CopyNode for Input Tensor 0 to /model/decoder/FEM2/Reshape + /model/decoder/FEM2/Transpose,Channel major FP16 format where channel % 8 == 0,Channel major FP16 format where channel % 2 == 0,/model/decoder/FEM2/Reshape + /model/decoder/FEM2/Transpose,0,Reformatted Input Tensor 0 to /model/decoder/FEM2/Reshape + /model/decoder/FEM2/Transpose,Channel major FP16 format where channel % 2 == 0,1x128x44x44
143,/model/decoder/FEM2/Reshape_1,0,/model/decoder/FEM2/Reshape_1_output_0,Row major linear FP16 format,Reformatting CopyNode for Input Tensor 0 to PWN(/model/decoder/FEM2/Add),Row major linear FP16 format,Channel major FP16 format where channel % 8 == 0,PWN(/model/decoder/FEM2/Add),0,Reformatted Input Tensor 0 to PWN(/model/decoder/FEM2/Add),Channel major FP16 format where channel % 8 == 0,1x128x44x44
144,"PWN(PWN(/model/decoder/FEM2/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM2/cbam/Mul))",0,/model/decoder/FEM2/cbam/Mul_output_0,Channel major FP16 format where channel % 8 == 0,Reformatting CopyNode for Input Tensor 0 to /model/decoder/FEM2/cbam/sa/ReduceMean,Channel major FP16 format where channel % 8 == 0,Row major linear FP16 format,/model/decoder/FEM2/cbam/sa/ReduceMean,0,Reformatted Input Tensor 0 to /model/decoder/FEM2/cbam/sa/ReduceMean,Row major linear FP16 format,1x128x44x44
145,"PWN(PWN(/model/decoder/FEM2/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM2/cbam/Mul))",0,/model/decoder/FEM2/cbam/Mul_output_0,Channel major FP16 format where channel % 8 == 0,Reformatting CopyNode for Input Tensor 0 to /model/decoder/FEM2/cbam/sa/ReduceMax,Channel major FP16 format where channel % 8 == 0,Row major linear FP16 format,/model/decoder/FEM2/cbam/sa/ReduceMax,0,Reformatted Input Tensor 0 to /model/decoder/FEM2/cbam/sa/ReduceMax,Row major linear FP16 format,1x128x44x44
146,ONNXTRT_Broadcast_3020,0,(Unnamed Layer* 4768) [Shuffle]_output,Row major linear FP16 format,Reformatting CopyNode for Input Tensor 1 to PWN(/model/decoder/FEM2/prelu_1/PRelu),Row major linear FP16 format,Channel major FP16 format where channel % 8 == 0,PWN(/model/decoder/FEM2/prelu_1/PRelu),1,Reformatted Input Tensor 1 to PWN(/model/decoder/FEM2/prelu_1/PRelu),Channel major FP16 format where channel % 8 == 0,1x1x1x1
147,Reformatting CopyNode for Output Tensor 0 to {ForeignNode[onnx::MatMul_6353 + ONNXTRT_Broadcast_2677.../model/Reshape_2 + /model/Transpose_2]},0,/model/Transpose_2_output_0,Channel major FP16 format where channel % 2 == 0,"Reformatting CopyNode for Input Tensor 0 to /model/decoder/FEM3/conv1/Conv + PWN(onnx::PRelu_6453 + ONNXTRT_Broadcast_3008, PWN(/model/decoder/FEM3/prelu/PRelu))",Channel major FP16 format where channel % 2 == 0,Channel major FP16 format where channel % 8 == 0,"/model/decoder/FEM3/conv1/Conv + PWN(onnx::PRelu_6453 + ONNXTRT_Broadcast_3008, PWN(/model/decoder/FEM3/prelu/PRelu))",0,"Reformatted Input Tensor 0 to /model/decoder/FEM3/conv1/Conv + PWN(onnx::PRelu_6453 + ONNXTRT_Broadcast_3008, PWN(/model/decoder/FEM3/prelu/PRelu))",Channel major FP16 format where channel % 8 == 0,1x320x22x22
148,"/model/decoder/FEM3/conv1/Conv + PWN(onnx::PRelu_6453 + ONNXTRT_Broadcast_3008, PWN(/model/decoder/FEM3/prelu/PRelu))",0,/model/decoder/FEM3/prelu/PRelu_output_0,Channel major FP16 format where channel % 8 == 0,Reformatting CopyNode for Input Tensor 0 to /model/decoder/FEM3/Reshape + /model/decoder/FEM3/Transpose,Channel major FP16 format where channel % 8 == 0,Channel major FP16 format where channel % 2 == 0,/model/decoder/FEM3/Reshape + /model/decoder/FEM3/Transpose,0,Reformatted Input Tensor 0 to /model/decoder/FEM3/Reshape + /model/decoder/FEM3/Transpose,Channel major FP16 format where channel % 2 == 0,1x320x22x22
149,/model/decoder/FEM3/Reshape_1,0,/model/decoder/FEM3/Reshape_1_output_0,Row major linear FP16 format,Reformatting CopyNode for Input Tensor 0 to PWN(/model/decoder/FEM3/Add),Row major linear FP16 format,Channel major FP16 format where channel % 8 == 0,PWN(/model/decoder/FEM3/Add),0,Reformatted Input Tensor 0 to PWN(/model/decoder/FEM3/Add),Channel major FP16 format where channel % 8 == 0,1x320x22x22
150,Reformatting CopyNode for Output Tensor 0 to {ForeignNode[onnx::MatMul_6353 + ONNXTRT_Broadcast_2677.../model/Reshape_2 + /model/Transpose_2]},0,/model/Transpose_2_output_0,Channel major FP16 format where channel % 2 == 0,Reformatting CopyNode for Input Tensor 1 to PWN(/model/decoder/FEM3/Add),Channel major FP16 format where channel % 2 == 0,Channel major FP16 format where channel % 8 == 0,PWN(/model/decoder/FEM3/Add),1,Reformatted Input Tensor 1 to PWN(/model/decoder/FEM3/Add),Channel major FP16 format where channel % 8 == 0,1x320x22x22
151,"PWN(PWN(/model/decoder/FEM3/cbam/ca/sigmoid/Sigmoid), PWN(/model/decoder/FEM3/cbam/Mul))",0,/model/decoder/FEM3/cbam/Mul_output_0,Channel major FP16 format where channel % 8 == 0,Reformatting CopyNode for Input Tensor 0 to /model/decoder/FEM3/cbam/sa/ReduceMean,Channel major FP16 format where channel % 8 == 0,Row major linear FP16 format,/model/decoder/FEM3/cbam/sa/ReduceMean,0,Reformatted Input Tensor 0 to /model/decoder/FEM3/cbam/sa/ReduceMean,Row major linear FP16 format,1x320x22x22
