copy_index,upstream_layer,upstream_output_index,upstream_tensor,upstream_output_format_datatype,copy_node,copy_input_format_datatype,copy_output_format_datatype,downstream_layer,downstream_input_index,downstream_tensor,downstream_input_format_datatype,tensor_dimensions
119,__myl_CastAddMeanSubMulMeanCast_myl227_2,0,/model/block3.14/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 2 to {ForeignNode[onnx::MatMul_6252 + ONNXTRT_Broadcast_2401.../model/block3.15/mlp/dwconv/Transpose + /model/block3.15/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,__myl_FcAdd_myl232_5,0,Reformatted Input Tensor 2 to {ForeignNode[onnx::MatMul_6252 + ONNXTRT_Broadcast_2401.../model/block3.15/mlp/dwconv/Transpose + /model/block3.15/mlp/dwconv/Reshape]},Half,1x484x320
120,__myl_Add_myl232_8,0,/model/block3.15/mlp/dwconv/Reshape_output_0,Half,Reformatting CopyNode for Input Tensor 0 to /model/block3.15/mlp/dwconv/dwconv/Conv,Row major linear FP16 format,Channel major FP16 format where channel % 8 == 0,/model/block3.15/mlp/dwconv/dwconv/Conv,0,Reformatted Input Tensor 0 to /model/block3.15/mlp/dwconv/dwconv/Conv,Channel major FP16 format where channel % 8 == 0,1x1280x22x22
121,__myl_FcAdd_myl232_5,0,/model/block3.15/Add_output_0,Half,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[model.rgb_encoder.block3.15.mlp.fc2.bias + ONNXTRT_Broadcast_2487.../model/block3.16/attn/Transpose_1 + /model/block3.16/attn/Reshape_1]},Row major linear FP16 format,Row major linear FP32,__myl_CastAddMeanSubMulMeanCast_myl236_2,1,Reformatted Input Tensor 1 to {ForeignNode[model.rgb_encoder.block3.15.mlp.fc2.bias + ONNXTRT_Broadcast_2487.../model/block3.16/attn/Transpose_1 + /model/block3.16/attn/Reshape_1]},Float,1x484x320
122,__myl_AddSqrtDivMulMulAddTranReshCast_myl236_3,1,/model/block3.16/norm1/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 0 to {ForeignNode[onnx::MatMul_6286 + ONNXTRT_Broadcast_2497.../model/block3.16/mlp/dwconv/Transpose + /model/block3.16/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,/model/block3.16/attn/q/MatMul_myl241_2,0,Reformatted Input Tensor 0 to {ForeignNode[onnx::MatMul_6286 + ONNXTRT_Broadcast_2497.../model/block3.16/mlp/dwconv/Transpose + /model/block3.16/mlp/dwconv/Reshape]},Half,1x484x320
123,/model/block3.16/attn/sr/Conv,0,/model/block3.16/attn/sr/Conv_output_0,Channel major FP16 format where channel % 8 == 0,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_6286 + ONNXTRT_Broadcast_2497.../model/block3.16/mlp/dwconv/Transpose + /model/block3.16/mlp/dwconv/Reshape]},Channel major FP16 format where channel % 8 == 0,Row major linear FP16 format,__myl_ReshTranMeanSubMulMeanAddSqrtDivMulMulAdd_myl241_0,0,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_6286 + ONNXTRT_Broadcast_2497.../model/block3.16/mlp/dwconv/Transpose + /model/block3.16/mlp/dwconv/Reshape]},Half,1x320x11x11
124,__myl_CastAddMeanSubMulMeanCast_myl236_2,0,/model/block3.15/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 2 to {ForeignNode[onnx::MatMul_6286 + ONNXTRT_Broadcast_2497.../model/block3.16/mlp/dwconv/Transpose + /model/block3.16/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,__myl_FcAdd_myl241_5,0,Reformatted Input Tensor 2 to {ForeignNode[onnx::MatMul_6286 + ONNXTRT_Broadcast_2497.../model/block3.16/mlp/dwconv/Transpose + /model/block3.16/mlp/dwconv/Reshape]},Half,1x484x320
125,__myl_Add_myl241_8,0,/model/block3.16/mlp/dwconv/Reshape_output_0,Half,Reformatting CopyNode for Input Tensor 0 to /model/block3.16/mlp/dwconv/dwconv/Conv,Row major linear FP16 format,Channel major FP16 format where channel % 8 == 0,/model/block3.16/mlp/dwconv/dwconv/Conv,0,Reformatted Input Tensor 0 to /model/block3.16/mlp/dwconv/dwconv/Conv,Channel major FP16 format where channel % 8 == 0,1x1280x22x22
126,__myl_FcAdd_myl241_5,0,/model/block3.16/Add_output_0,Half,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[model.rgb_encoder.block3.16.mlp.fc2.bias + ONNXTRT_Broadcast_2583.../model/block3.17/attn/Transpose_1 + /model/block3.17/attn/Reshape_1]},Row major linear FP16 format,Row major linear FP32,__myl_CastAddMeanSubMulMeanCast_myl245_2,1,Reformatted Input Tensor 1 to {ForeignNode[model.rgb_encoder.block3.16.mlp.fc2.bias + ONNXTRT_Broadcast_2583.../model/block3.17/attn/Transpose_1 + /model/block3.17/attn/Reshape_1]},Float,1x484x320
127,__myl_AddSqrtDivMulMulAddTranReshCast_myl245_3,1,/model/block3.17/norm1/Add_1_output_0,Float,Reformatting CopyNode for Input Tensor 0 to {ForeignNode[onnx::MatMul_6320 + ONNXTRT_Broadcast_2593.../model/block3.17/mlp/dwconv/Transpose + /model/block3.17/mlp/dwconv/Reshape]},Row major linear FP32,Row major linear FP16 format,/model/block3.17/attn/q/MatMul_myl250_2,0,Reformatted Input Tensor 0 to {ForeignNode[onnx::MatMul_6320 + ONNXTRT_Broadcast_2593.../model/block3.17/mlp/dwconv/Transpose + /model/block3.17/mlp/dwconv/Reshape]},Half,1x484x320
128,/model/block3.17/attn/sr/Conv,0,/model/block3.17/attn/sr/Conv_output_0,Channel major FP16 format where channel % 8 == 0,Reformatting CopyNode for Input Tensor 1 to {ForeignNode[onnx::MatMul_6320 + ONNXTRT_Broadcast_2593.../model/block3.17/mlp/dwconv/Transpose + /model/block3.17/mlp/dwconv/Reshape]},Channel major FP16 format where channel % 8 == 0,Row major linear FP16 format,__myl_ReshTranMeanSubMulMeanAddSqrtDivMulMulAdd_myl250_0,0,Reformatted Input Tensor 1 to {ForeignNode[onnx::MatMul_6320 + ONNXTRT_Broadcast_2593.../model/block3.17/mlp/dwconv/Transpose + /model/block3.17/mlp/dwconv/Reshape]},Half,1x320x11x11
